"num_heads"
27
22
25
28
23
21
26
29
27
28
30
22
23
23
25
28
23
24
22
26
23
22
26
22
24
28
19
24
27
25
27
34
27
28
26
28
18
23
23
29
23
21
26
23
24
21
24
25
29
24
25
23
28
23
26
33
25
21
22
26
24
23
26
24
23
24
25
21
29
22
26
25
23
31
29
27
24
21
25
20
21
27
29
22
19
26
30
21
20
29
23
22
23
24
15
17
28
20
20
24
30
24
29
25
30
30
24
23
22
24
27
27
22
31
25
31
18
26
29
26
32
25
28
27
23
19
31
25
24
25
25
21
27
24
26
24
24
26
25
26
27
33
25
24
26
23
20
21
26
23
24
25
22
25
28
